nama,jabatan,nama_kupva,teregistrasi_ahu
John Doe,Komisaris,PT Maju Jaya,1
Mary Jane,Direktur,PT Sukses Selalu,1
Michael Smith,Pemegang Saham,PT Untung Besar,1
Susan Lee,Komisaris,PT Tani Makmur,1
Robert Brown,Direktur,PT Laut Biru,1
Emily Clark,Pemegang Saham,PT Baru Jaya,0
David Johnson,Komisaris,PT Mega Sukses,0
Jessica Davis,Direktur,PT Global Makmur,0
Daniel Martinez,Pemegang Saham,PT Agung Sentosa,0
Natalie Taylor,Komisaris,PT Indah Perkasa,0
Chris Anderson,Direktur,PT Harmoni Jaya,0
Karen Wilson,Pemegang Saham,PT Prima Abadi,0
Brian Moore,Komisaris,PT Sejahtera,0
Jennifer Thompson,Direktur,PT Berkah,0
Kevin Lee,Pemegang Saham,PT Sinar Terang,0
Laura Martinez,Komisaris,PT Cahaya Abadi,0
Jason White,Direktur,PT Mandiri,0
Stephanie Harris,Pemegang Saham,PT Gemilang,0
Megan Clark,Komisaris,PT Sentosa,0
Anthony Robinson,Direktur,PT Bintang Jaya,0
